ASSET ID,FEATURE TYPE,DIVISION NAME,LOCATION NAME,Location 1,LATITUDE,LONGITUDE
TABL821,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326313, 148.945902)",-35.326313,148.945902
TABL700,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.325214, 148.948692)",-35.325214,148.948692
TABL627,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323109, 148.941918)",-35.323109,148.941918
TABL857,TABLE,STROMLO (RURAL DIST.),COTTER RESERVE - CASUARINA SANDS,"(-35.319808, 148.95336)",-35.319808,148.95336
TABL719,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.32597, 148.939106)",-35.32597,148.939106
TABL2121,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.327736, 148.93754)",-35.327736,148.93754
TABL816,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.32302, 148.941237)",-35.32302,148.941237
TABL664,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323787, 148.940897)",-35.323787,148.940897
TABL856,TABLE,STROMLO (RURAL DIST.),COTTER RESERVE - CASUARINA SANDS,"(-35.319816, 148.953494)",-35.319816,148.953494
TABL822,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.326063, 148.946309)",-35.326063,148.946309
TABL699,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.325387, 148.948554)",-35.325387,148.948554
TABL661,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.322868, 148.9421)",-35.322868,148.9421
TABL783,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.32542, 148.94852)",-35.32542,148.94852
TABL708,TABLE,PADDYS RIVER (RURAL DIST.),COTTER RESERVE - COTTER AVENUE,"(-35.323227, 148.941968)",-35.323227,148.941968
TABL779,TABLE,COREE (RURAL DIST.),COTTER RESERVE - CAMPGROUND,"(-35.325876, 148.947122)",-35.325876,148.947122
TABL714,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326994, 148.939844)",-35.326994,148.939844
TABL818,TABLE,COREE (RURAL DIST.),COTTER RESERVE - COTTER BEND,"(-35.326474, 148.939604)",-35.326474,148.939604
