image,episode,title,url
S25E12.jpg,S25E12,Desert Hues,/painting/desert-hues
S25E13.jpg,S25E13,The Property Line,/painting/the-property-line
S26E1.jpg,S26E1,In the Stillness of Morning,/painting/in-the-stillness-of-morning
S26E2.jpg,S26E2,Delightful Meadow Home,/painting/delightful-meadow-home
S26E3.jpg,S26E3,First Snow,/painting/first-snow
S26E4.jpg,S26E4,Lake in the Valley,/painting/lake-in-the-valley
S26E5.jpg,S26E5,A Trace of Spring,/painting/a-trace-of-spring
S26E6.jpg,S26E6,An Arctic Winter Day,/painting/an-arctic-winter-day
S26E7.jpg,S26E7,Snow Birch,/painting/snow-birch
S26E8.jpg,S26E8,Early Autumn,/painting/early-autumn
S26E9.jpg,S26E9,Tranquil Wooded Stream,/painting/tranquil-wooded-stream
S26E10.jpg,S26E10,Purple Mountain Range,/painting/purple-mountain-range
S26E11.jpg,S26E11,Storm's A Comin,/painting/storms-a-comin
S26E12.jpg,S26E12,Sunset Aglow,/painting/sunset-aglow
S26E13.jpg,S26E13,Evening at the Falls,/painting/evening-at-the-falls
S27E1.jpg,S27E1,Twilight Beauty,/painting/twilight-beauty
S27E2.jpg,S27E2,Angler's Haven,/painting/anglers-haven
S27E3.jpg,S27E3,Rustic Winter Woods,/painting/rustic-winter-woods
S27E4.jpg,S27E4,Wilderness Falls,/painting/wilderness-falls
S27E5.jpg,S27E5,Winter at the Farm,/painting/winter-at-the-farm
S27E6.jpg,S27E6,Daisies at Dawn,/painting/daisies-at-dawn
S27E7.jpg,S27E7,A Spectacular View,/painting/a-spectacular-view
S27E8.jpg,S27E8,Daybreak,/painting/daybreak
S27E9.jpg,S27E9,Island Paradise,/painting/island-paradise
S27E10.jpg,S27E10,Sunlight in the Shadows,/painting/sunlight-in-the-shadows
S27E11.jpg,S27E11,Splendor of a Snowy Winter,/painting/splendor-of-a-snowy-winter
S27E12.jpg,S27E12,Forest River,/painting/forest-river
S27E13.jpg,S27E13,Golden Glow of Morning,/painting/golden-glow-of-morning
S28E1.jpg,S28E1,Fisherman's Trail,/painting/fishermans-trail
S28E2.jpg,S28E2,A Warm Winter,/painting/a-warm-winter
S28E3.jpg,S28E3,Under Pastel Skies,/painting/under-pastel-skies
S28E4.jpg,S28E4,Golden Rays of Sunshine,/painting/golden-rays-of-sunshine
S28E5.jpg,S28E5,The Magic of Fall,/painting/the-magic-of-fall
S28E6.jpg,S28E6,Glacier Lake,/painting/glacier-lake
S28E7.jpg,S28E7,The Old Weathered Barn,/painting/the-old-weathered-barn
S28E8.jpg,S28E8,Deep Forest Falls,/painting/deep-forest-falls
S28E9.jpg,S28E9,Winter's Grace,/painting/winters-grace
S28E10.jpg,S28E10,Splendor of Autumn,/painting/splendor-of-autumn
S28E11.jpg,S28E11,Tranquil Seas,/painting/tranquil-seas
S28E12.jpg,S28E12,Mountain Serenity,/painting/mountain-serenity
S28E13.jpg,S28E13,Home Before Nightfall,/painting/home-before-nightfall
S29E1.jpg,S29E1,Island in the Wilderness,/painting/island-in-the-wilderness
S29E2.jpg,S29E2,Autumn Oval,/painting/autumn-oval
S29E3.jpg,S29E3,Seasonal Progression,/painting/seasonal-progression
S29E4.jpg,S29E4,Light at the Summit,/painting/light-at-the-summit
S29E5.jpg,S29E5,Countryside Barn,/painting/countryside-barn
S29E6.jpg,S29E6,Mountain Lake Falls,/painting/mountain-lake-falls
S29E7.jpg,S29E7,Cypress Creek,/painting/cypress-creek
S29E8.jpg,S29E8,Trapper's Cabin,/painting/trappers-cabin
S29E9.jpg,S29E9,Storm on the Horizon,/painting/storm-on-the-horizon
S29E10.jpg,S29E10,Pot O' Posies,/painting/pot-o-posies
S29E11.jpg,S29E11,A Perfect Winter Day,/painting/a-perfect-winter-day
